window_path,source_file,start_seconds,end_seconds,target_speaking,notes,similarity,threshold,model_prediction,expected_decision,correct,inference_ms
recordings/windows/2s/lazy_mixed_v10/window_0010.wav,lazy_mixed_v10.wav,20.000,22.000,yes,,0.511105,0.15,accept,accept,true,12.613
recordings/windows/2s/lazy_mixed_v10/window_0011.wav,lazy_mixed_v10.wav,22.000,24.000,uncertain,,0.338682,0.15,accept,uncertain,,12.533
recordings/windows/2s/lazy_mixed_v10/window_0012.wav,lazy_mixed_v10.wav,24.000,26.000,yes,,0.433953,0.15,accept,accept,true,12.575
recordings/windows/2s/lazy_mixed_v10/window_0013.wav,lazy_mixed_v10.wav,26.000,28.000,yes,,0.368009,0.15,accept,accept,true,12.629
recordings/windows/2s/lazy_mixed_v10/window_0014.wav,lazy_mixed_v10.wav,28.000,30.000,yes,,0.452704,0.15,accept,accept,true,12.599
recordings/windows/2s/lazy_mixed_v10/window_0015.wav,lazy_mixed_v10.wav,30.000,32.000,yes,,0.455035,0.15,accept,accept,true,12.531
recordings/windows/2s/lazy_mixed_v10/window_0016.wav,lazy_mixed_v10.wav,32.000,34.000,yes,,0.395872,0.15,accept,accept,true,12.596
recordings/windows/2s/lazy_mixed_v10/window_0017.wav,lazy_mixed_v10.wav,34.000,36.000,yes,,0.507857,0.15,accept,accept,true,12.535
recordings/windows/2s/lazy_mixed_v10/window_0018.wav,lazy_mixed_v10.wav,36.000,38.000,yes,,0.426547,0.15,accept,accept,true,12.530
recordings/windows/2s/lazy_mixed_v10/window_0019.wav,lazy_mixed_v10.wav,38.000,40.000,yes,,0.321070,0.15,accept,accept,true,12.810
recordings/windows/2s/lazy_mixed_v10/window_0020.wav,lazy_mixed_v10.wav,40.000,42.000,yes,,0.387547,0.15,accept,accept,true,12.533
recordings/windows/2s/lazy_mixed_v10/window_0021.wav,lazy_mixed_v10.wav,42.000,44.000,yes,,0.398730,0.15,accept,accept,true,12.529
recordings/windows/2s/lazy_mixed_v10/window_0022.wav,lazy_mixed_v10.wav,44.000,46.000,yes,,0.384883,0.15,accept,accept,true,12.527
recordings/windows/2s/lazy_mixed_v16/window_0000.wav,lazy_mixed_v16.wav,0.000,2.000,yes,,0.158309,0.15,accept,accept,true,12.785
recordings/windows/2s/lazy_mixed_v16/window_0001.wav,lazy_mixed_v16.wav,2.000,4.000,yes,,0.256452,0.15,accept,accept,true,12.808
recordings/windows/2s/lazy_mixed_v16/window_0002.wav,lazy_mixed_v16.wav,4.000,6.000,yes,,0.201838,0.15,accept,accept,true,12.750
recordings/windows/2s/lazy_mixed_v16/window_0003.wav,lazy_mixed_v16.wav,6.000,8.000,yes,Music much louder than target voice,-0.048222,0.15,reject,accept,false,12.728
recordings/windows/2s/lazy_mixed_v16/window_0004.wav,lazy_mixed_v16.wav,8.000,10.000,yes,,0.308849,0.15,accept,accept,true,13.145
recordings/windows/2s/lazy_mixed_v16/window_0005.wav,lazy_mixed_v16.wav,10.000,12.000,yes,,0.343272,0.15,accept,accept,true,12.932
recordings/windows/2s/lazy_mixed_v16/window_0006.wav,lazy_mixed_v16.wav,12.000,14.000,yes,Music much louder than target voice,0.064833,0.15,reject,accept,false,12.925
recordings/windows/2s/lazy_mixed_v16/window_0007.wav,lazy_mixed_v16.wav,14.000,16.000,yes,Music much louder than target voice,0.009924,0.15,reject,accept,false,12.958
recordings/windows/2s/lazy_mixed_v16/window_0008.wav,lazy_mixed_v16.wav,16.000,18.000,yes,Music much louder than target voice,0.050853,0.15,reject,accept,false,12.757
recordings/windows/2s/lazy_mixed_v16/window_0009.wav,lazy_mixed_v16.wav,18.000,20.000,yes,Music much louder than target voice,-0.007410,0.15,reject,accept,false,12.856
recordings/windows/2s/lazy_mixed_v16/window_0010.wav,lazy_mixed_v16.wav,20.000,22.000,yes,,0.284740,0.15,accept,accept,true,12.828
recordings/windows/2s/lazy_mixed_v16/window_0011.wav,lazy_mixed_v16.wav,22.000,24.000,yes,Music much louder than target voice,0.093313,0.15,reject,accept,false,12.780
recordings/windows/2s/lazy_mixed_v16/window_0012.wav,lazy_mixed_v16.wav,24.000,26.000,yes,,0.183117,0.15,accept,accept,true,12.870
recordings/windows/2s/lazy_mixed_v16/window_0013.wav,lazy_mixed_v16.wav,26.000,28.000,yes,Music much louder than target voice,0.045006,0.15,reject,accept,false,12.843
recordings/windows/2s/lazy_mixed_v16/window_0014.wav,lazy_mixed_v16.wav,28.000,30.000,yes,,0.181709,0.15,accept,accept,true,12.720
recordings/windows/2s/lazy_mixed_v16/window_0015.wav,lazy_mixed_v16.wav,30.000,32.000,yes,,0.264258,0.15,accept,accept,true,12.747
recordings/windows/2s/lazy_mixed_v16/window_0016.wav,lazy_mixed_v16.wav,32.000,34.000,yes,,0.176256,0.15,accept,accept,true,12.828
recordings/windows/2s/lazy_mixed_v16/window_0017.wav,lazy_mixed_v16.wav,34.000,36.000,yes,,0.239715,0.15,accept,accept,true,12.868
recordings/windows/2s/lazy_mixed_v16/window_0018.wav,lazy_mixed_v16.wav,36.000,38.000,yes,Music much louder than target voice,0.069440,0.15,reject,accept,false,12.756
recordings/windows/2s/lazy_mixed_v16/window_0019.wav,lazy_mixed_v16.wav,38.000,40.000,yes,Music much louder than target voice,0.141978,0.15,reject,accept,false,12.717
recordings/windows/2s/lazy_mixed_v16/window_0020.wav,lazy_mixed_v16.wav,40.000,42.000,yes,Music much louder than target voice,0.087104,0.15,reject,accept,false,12.828
recordings/windows/2s/lazy_mixed_v16/window_0021.wav,lazy_mixed_v16.wav,42.000,44.000,yes,,0.242606,0.15,accept,accept,true,12.727
recordings/windows/2s/lazy_mixed_v16/window_0022.wav,lazy_mixed_v16.wav,44.000,46.000,no,,-0.005596,0.15,reject,reject,true,12.977
recordings/windows/2s/whiplash_mixed_v05/window_0000.wav,whiplash_mixed_v05.wav,0.000,2.000,yes,,0.444836,0.15,accept,accept,true,12.867
recordings/windows/2s/whiplash_mixed_v05/window_0001.wav,whiplash_mixed_v05.wav,2.000,4.000,yes,,0.605148,0.15,accept,accept,true,13.096
recordings/windows/2s/whiplash_mixed_v05/window_0002.wav,whiplash_mixed_v05.wav,4.000,6.000,yes,,0.393178,0.15,accept,accept,true,12.894
recordings/windows/2s/whiplash_mixed_v05/window_0003.wav,whiplash_mixed_v05.wav,6.000,8.000,yes,,0.424026,0.15,accept,accept,true,12.877
recordings/windows/2s/whiplash_mixed_v05/window_0004.wav,whiplash_mixed_v05.wav,8.000,10.000,yes,,0.512493,0.15,accept,accept,true,13.010
recordings/windows/2s/whiplash_mixed_v05/window_0005.wav,whiplash_mixed_v05.wav,10.000,12.000,yes,,0.530035,0.15,accept,accept,true,12.877
recordings/windows/2s/whiplash_mixed_v05/window_0006.wav,whiplash_mixed_v05.wav,12.000,14.000,yes,,0.619770,0.15,accept,accept,true,12.942
recordings/windows/2s/whiplash_mixed_v05/window_0007.wav,whiplash_mixed_v05.wav,14.000,16.000,yes,,0.611913,0.15,accept,accept,true,12.928
recordings/windows/2s/whiplash_mixed_v05/window_0008.wav,whiplash_mixed_v05.wav,16.000,18.000,yes,,0.453141,0.15,accept,accept,true,13.053
recordings/windows/2s/whiplash_mixed_v05/window_0009.wav,whiplash_mixed_v05.wav,18.000,20.000,yes,,0.510295,0.15,accept,accept,true,12.975
recordings/windows/2s/whiplash_mixed_v05/window_0010.wav,whiplash_mixed_v05.wav,20.000,22.000,yes,,0.654464,0.15,accept,accept,true,12.765
recordings/windows/2s/whiplash_mixed_v05/window_0011.wav,whiplash_mixed_v05.wav,22.000,24.000,yes,,0.476600,0.15,accept,accept,true,12.892
recordings/windows/2s/whiplash_mixed_v05/window_0012.wav,whiplash_mixed_v05.wav,24.000,26.000,yes,,0.443112,0.15,accept,accept,true,12.880
recordings/windows/2s/whiplash_mixed_v05/window_0013.wav,whiplash_mixed_v05.wav,26.000,28.000,yes,,0.537191,0.15,accept,accept,true,12.775
recordings/windows/2s/whiplash_mixed_v05/window_0014.wav,whiplash_mixed_v05.wav,28.000,30.000,yes,,0.377595,0.15,accept,accept,true,12.908
recordings/windows/2s/whiplash_mixed_v05/window_0015.wav,whiplash_mixed_v05.wav,30.000,32.000,yes,,0.432789,0.15,accept,accept,true,12.799
recordings/windows/2s/whiplash_mixed_v05/window_0016.wav,whiplash_mixed_v05.wav,32.000,34.000,yes,,0.444204,0.15,accept,accept,true,12.797
recordings/windows/2s/whiplash_mixed_v05/window_0017.wav,whiplash_mixed_v05.wav,34.000,36.000,yes,,0.372109,0.15,accept,accept,true,13.000
recordings/windows/2s/whiplash_mixed_v05/window_0018.wav,whiplash_mixed_v05.wav,36.000,38.000,yes,,0.507366,0.15,accept,accept,true,12.808
recordings/windows/2s/whiplash_mixed_v05/window_0019.wav,whiplash_mixed_v05.wav,38.000,40.000,yes,,0.529929,0.15,accept,accept,true,12.824
recordings/windows/2s/whiplash_mixed_v05/window_0020.wav,whiplash_mixed_v05.wav,40.000,42.000,yes,,0.223734,0.15,accept,accept,true,12.843
recordings/windows/2s/whiplash_mixed_v10/window_0000.wav,whiplash_mixed_v10.wav,0.000,2.000,yes,,0.275377,0.15,accept,accept,true,12.748
recordings/windows/2s/whiplash_mixed_v10/window_0001.wav,whiplash_mixed_v10.wav,2.000,4.000,yes,,0.443739,0.15,accept,accept,true,12.807
recordings/windows/2s/whiplash_mixed_v10/window_0002.wav,whiplash_mixed_v10.wav,4.000,6.000,yes,,0.499309,0.15,accept,accept,true,12.899
recordings/windows/2s/whiplash_mixed_v10/window_0003.wav,whiplash_mixed_v10.wav,6.000,8.000,yes,,0.454154,0.15,accept,accept,true,12.800
recordings/windows/2s/whiplash_mixed_v10/window_0004.wav,whiplash_mixed_v10.wav,8.000,10.000,yes,,0.437347,0.15,accept,accept,true,12.884
recordings/windows/2s/whiplash_mixed_v10/window_0005.wav,whiplash_mixed_v10.wav,10.000,12.000,yes,,0.437581,0.15,accept,accept,true,12.752
recordings/windows/2s/whiplash_mixed_v10/window_0006.wav,whiplash_mixed_v10.wav,12.000,14.000,yes,,0.320531,0.15,accept,accept,true,12.777
recordings/windows/2s/whiplash_mixed_v10/window_0007.wav,whiplash_mixed_v10.wav,14.000,16.000,yes,,0.434510,0.15,accept,accept,true,12.884
recordings/windows/2s/whiplash_mixed_v10/window_0008.wav,whiplash_mixed_v10.wav,16.000,18.000,yes,,0.421051,0.15,accept,accept,true,12.829
recordings/windows/2s/whiplash_mixed_v10/window_0009.wav,whiplash_mixed_v10.wav,18.000,20.000,yes,,0.460302,0.15,accept,accept,true,12.811
recordings/windows/2s/whiplash_mixed_v10/window_0010.wav,whiplash_mixed_v10.wav,20.000,22.000,yes,,0.355398,0.15,accept,accept,true,12.746
recordings/windows/2s/whiplash_mixed_v10/window_0011.wav,whiplash_mixed_v10.wav,22.000,24.000,yes,,0.448874,0.15,accept,accept,true,12.853
recordings/windows/2s/whiplash_mixed_v10/window_0012.wav,whiplash_mixed_v10.wav,24.000,26.000,yes,,0.414158,0.15,accept,accept,true,12.832
recordings/windows/2s/whiplash_mixed_v10/window_0013.wav,whiplash_mixed_v10.wav,26.000,28.000,yes,,0.351378,0.15,accept,accept,true,12.689
recordings/windows/2s/whiplash_mixed_v10/window_0014.wav,whiplash_mixed_v10.wav,28.000,30.000,yes,,0.277457,0.15,accept,accept,true,12.817
recordings/windows/2s/whiplash_mixed_v10/window_0015.wav,whiplash_mixed_v10.wav,30.000,32.000,yes,,0.327182,0.15,accept,accept,true,12.698
recordings/windows/2s/whiplash_mixed_v10/window_0016.wav,whiplash_mixed_v10.wav,32.000,34.000,yes,,0.238974,0.15,accept,accept,true,12.684
recordings/windows/2s/whiplash_mixed_v10/window_0017.wav,whiplash_mixed_v10.wav,34.000,36.000,yes,,0.367078,0.15,accept,accept,true,12.859
recordings/windows/2s/whiplash_mixed_v10/window_0018.wav,whiplash_mixed_v10.wav,36.000,38.000,yes,,0.389097,0.15,accept,accept,true,12.805
recordings/windows/2s/whiplash_mixed_v10/window_0019.wav,whiplash_mixed_v10.wav,38.000,40.000,yes,,0.364364,0.15,accept,accept,true,12.773
recordings/windows/2s/whiplash_mixed_v10/window_0020.wav,whiplash_mixed_v10.wav,40.000,42.000,yes,,0.366156,0.15,accept,accept,true,13.047
recordings/windows/2s/whiplash_mixed_v10/window_0021.wav,whiplash_mixed_v10.wav,42.000,44.000,yes,,0.437159,0.15,accept,accept,true,13.256
recordings/windows/2s/whiplash_mixed_v10/window_0022.wav,whiplash_mixed_v10.wav,44.000,46.000,yes,,0.177366,0.15,accept,accept,true,12.904
recordings/windows/2s/whiplash_mixed_v16/window_0000.wav,whiplash_mixed_v16.wav,0.000,2.000,yes,,0.246083,0.15,accept,accept,true,14.363
recordings/windows/2s/whiplash_mixed_v16/window_0001.wav,whiplash_mixed_v16.wav,2.000,4.000,yes,,0.291555,0.15,accept,accept,true,12.935
recordings/windows/2s/whiplash_mixed_v16/window_0002.wav,whiplash_mixed_v16.wav,4.000,6.000,yes,,0.235550,0.15,accept,accept,true,13.144
recordings/windows/2s/whiplash_mixed_v16/window_0003.wav,whiplash_mixed_v16.wav,6.000,8.000,yes,,0.321636,0.15,accept,accept,true,12.945
recordings/windows/2s/whiplash_mixed_v16/window_0004.wav,whiplash_mixed_v16.wav,8.000,10.000,yes,Music much louder than target voice,0.114152,0.15,reject,accept,false,12.959
recordings/windows/2s/whiplash_mixed_v16/window_0005.wav,whiplash_mixed_v16.wav,10.000,12.000,yes,,0.238811,0.15,accept,accept,true,12.965
recordings/windows/2s/whiplash_mixed_v16/window_0006.wav,whiplash_mixed_v16.wav,12.000,14.000,yes,,0.204106,0.15,accept,accept,true,12.844
recordings/windows/2s/whiplash_mixed_v16/window_0007.wav,whiplash_mixed_v16.wav,14.000,16.000,yes,Music much louder than target voice,0.093052,0.15,reject,accept,false,12.847
recordings/windows/2s/whiplash_mixed_v16/window_0008.wav,whiplash_mixed_v16.wav,16.000,18.000,yes,,0.151705,0.15,accept,accept,true,12.802
recordings/windows/2s/whiplash_mixed_v16/window_0009.wav,whiplash_mixed_v16.wav,18.000,20.000,yes,Music much louder than target voice,0.124481,0.15,reject,accept,false,12.765
recordings/windows/2s/whiplash_mixed_v16/window_0010.wav,whiplash_mixed_v16.wav,20.000,22.000,yes,,0.176203,0.15,accept,accept,true,13.012
recordings/windows/2s/whiplash_mixed_v16/window_0011.wav,whiplash_mixed_v16.wav,22.000,24.000,yes,,0.229611,0.15,accept,accept,true,12.794
recordings/windows/2s/whiplash_mixed_v16/window_0012.wav,whiplash_mixed_v16.wav,24.000,26.000,yes,Music much louder than target voice,0.097829,0.15,reject,accept,false,12.854
recordings/windows/2s/whiplash_mixed_v16/window_0013.wav,whiplash_mixed_v16.wav,26.000,28.000,yes,Music much louder than target voice,0.081126,0.15,reject,accept,false,12.911
recordings/windows/2s/whiplash_mixed_v16/window_0014.wav,whiplash_mixed_v16.wav,28.000,30.000,yes,,0.198841,0.15,accept,accept,true,12.812
recordings/windows/2s/whiplash_mixed_v16/window_0015.wav,whiplash_mixed_v16.wav,30.000,32.000,yes,,0.378051,0.15,accept,accept,true,12.838
recordings/windows/2s/whiplash_mixed_v16/window_0016.wav,whiplash_mixed_v16.wav,32.000,34.000,yes,Music much louder than target voice,0.103737,0.15,reject,accept,false,12.808
recordings/windows/2s/whiplash_mixed_v16/window_0017.wav,whiplash_mixed_v16.wav,34.000,36.000,yes,,0.322530,0.15,accept,accept,true,12.794
recordings/windows/2s/whiplash_mixed_v16/window_0018.wav,whiplash_mixed_v16.wav,36.000,38.000,yes,,0.248941,0.15,accept,accept,true,12.823
