window_path,source_file,start_seconds,end_seconds,target_speaking,notes
recordings/windows/2s/lazy_mixed_v10/window_0018.wav,lazy_mixed_v10.wav,36.000,38.000,yes,
recordings/windows/2s/lazy_mixed_v10/window_0019.wav,lazy_mixed_v10.wav,38.000,40.000,yes,
recordings/windows/2s/lazy_mixed_v10/window_0020.wav,lazy_mixed_v10.wav,40.000,42.000,yes,
recordings/windows/2s/lazy_mixed_v10/window_0021.wav,lazy_mixed_v10.wav,42.000,44.000,yes,
recordings/windows/2s/lazy_mixed_v10/window_0022.wav,lazy_mixed_v10.wav,44.000,46.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0000.wav,lazy_mixed_v16.wav,0.000,2.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0001.wav,lazy_mixed_v16.wav,2.000,4.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0002.wav,lazy_mixed_v16.wav,4.000,6.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0003.wav,lazy_mixed_v16.wav,6.000,8.000,yes,Music much louder than target voice
recordings/windows/2s/lazy_mixed_v16/window_0004.wav,lazy_mixed_v16.wav,8.000,10.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0005.wav,lazy_mixed_v16.wav,10.000,12.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0006.wav,lazy_mixed_v16.wav,12.000,14.000,yes,Music much louder than target voice
recordings/windows/2s/lazy_mixed_v16/window_0007.wav,lazy_mixed_v16.wav,14.000,16.000,yes,Music much louder than target voice
recordings/windows/2s/lazy_mixed_v16/window_0008.wav,lazy_mixed_v16.wav,16.000,18.000,yes,Music much louder than target voice
recordings/windows/2s/lazy_mixed_v16/window_0009.wav,lazy_mixed_v16.wav,18.000,20.000,yes,Music much louder than target voice
recordings/windows/2s/lazy_mixed_v16/window_0010.wav,lazy_mixed_v16.wav,20.000,22.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0011.wav,lazy_mixed_v16.wav,22.000,24.000,yes,Music much louder than target voice
recordings/windows/2s/lazy_mixed_v16/window_0012.wav,lazy_mixed_v16.wav,24.000,26.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0013.wav,lazy_mixed_v16.wav,26.000,28.000,yes,Music much louder than target voice
recordings/windows/2s/lazy_mixed_v16/window_0014.wav,lazy_mixed_v16.wav,28.000,30.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0015.wav,lazy_mixed_v16.wav,30.000,32.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0016.wav,lazy_mixed_v16.wav,32.000,34.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0017.wav,lazy_mixed_v16.wav,34.000,36.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0018.wav,lazy_mixed_v16.wav,36.000,38.000,yes,Music much louder than target voice
recordings/windows/2s/lazy_mixed_v16/window_0019.wav,lazy_mixed_v16.wav,38.000,40.000,yes,Music much louder than target voice
recordings/windows/2s/lazy_mixed_v16/window_0020.wav,lazy_mixed_v16.wav,40.000,42.000,yes,Music much louder than target voice
recordings/windows/2s/lazy_mixed_v16/window_0021.wav,lazy_mixed_v16.wav,42.000,44.000,yes,
recordings/windows/2s/lazy_mixed_v16/window_0022.wav,lazy_mixed_v16.wav,44.000,46.000,no,
recordings/windows/2s/whiplash_mixed_v05/window_0000.wav,whiplash_mixed_v05.wav,0.000,2.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0001.wav,whiplash_mixed_v05.wav,2.000,4.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0002.wav,whiplash_mixed_v05.wav,4.000,6.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0003.wav,whiplash_mixed_v05.wav,6.000,8.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0004.wav,whiplash_mixed_v05.wav,8.000,10.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0005.wav,whiplash_mixed_v05.wav,10.000,12.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0006.wav,whiplash_mixed_v05.wav,12.000,14.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0007.wav,whiplash_mixed_v05.wav,14.000,16.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0008.wav,whiplash_mixed_v05.wav,16.000,18.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0009.wav,whiplash_mixed_v05.wav,18.000,20.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0010.wav,whiplash_mixed_v05.wav,20.000,22.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0011.wav,whiplash_mixed_v05.wav,22.000,24.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0012.wav,whiplash_mixed_v05.wav,24.000,26.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0013.wav,whiplash_mixed_v05.wav,26.000,28.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0014.wav,whiplash_mixed_v05.wav,28.000,30.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0015.wav,whiplash_mixed_v05.wav,30.000,32.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0016.wav,whiplash_mixed_v05.wav,32.000,34.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0017.wav,whiplash_mixed_v05.wav,34.000,36.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0018.wav,whiplash_mixed_v05.wav,36.000,38.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0019.wav,whiplash_mixed_v05.wav,38.000,40.000,yes,
recordings/windows/2s/whiplash_mixed_v05/window_0020.wav,whiplash_mixed_v05.wav,40.000,42.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0000.wav,whiplash_mixed_v10.wav,0.000,2.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0001.wav,whiplash_mixed_v10.wav,2.000,4.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0002.wav,whiplash_mixed_v10.wav,4.000,6.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0003.wav,whiplash_mixed_v10.wav,6.000,8.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0004.wav,whiplash_mixed_v10.wav,8.000,10.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0005.wav,whiplash_mixed_v10.wav,10.000,12.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0006.wav,whiplash_mixed_v10.wav,12.000,14.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0007.wav,whiplash_mixed_v10.wav,14.000,16.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0008.wav,whiplash_mixed_v10.wav,16.000,18.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0009.wav,whiplash_mixed_v10.wav,18.000,20.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0010.wav,whiplash_mixed_v10.wav,20.000,22.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0011.wav,whiplash_mixed_v10.wav,22.000,24.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0012.wav,whiplash_mixed_v10.wav,24.000,26.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0013.wav,whiplash_mixed_v10.wav,26.000,28.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0014.wav,whiplash_mixed_v10.wav,28.000,30.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0015.wav,whiplash_mixed_v10.wav,30.000,32.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0016.wav,whiplash_mixed_v10.wav,32.000,34.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0017.wav,whiplash_mixed_v10.wav,34.000,36.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0018.wav,whiplash_mixed_v10.wav,36.000,38.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0019.wav,whiplash_mixed_v10.wav,38.000,40.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0020.wav,whiplash_mixed_v10.wav,40.000,42.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0021.wav,whiplash_mixed_v10.wav,42.000,44.000,yes,
recordings/windows/2s/whiplash_mixed_v10/window_0022.wav,whiplash_mixed_v10.wav,44.000,46.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0000.wav,whiplash_mixed_v16.wav,0.000,2.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0001.wav,whiplash_mixed_v16.wav,2.000,4.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0002.wav,whiplash_mixed_v16.wav,4.000,6.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0003.wav,whiplash_mixed_v16.wav,6.000,8.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0004.wav,whiplash_mixed_v16.wav,8.000,10.000,yes,Music much louder than target voice
recordings/windows/2s/whiplash_mixed_v16/window_0005.wav,whiplash_mixed_v16.wav,10.000,12.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0006.wav,whiplash_mixed_v16.wav,12.000,14.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0007.wav,whiplash_mixed_v16.wav,14.000,16.000,yes,Music much louder than target voice
recordings/windows/2s/whiplash_mixed_v16/window_0008.wav,whiplash_mixed_v16.wav,16.000,18.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0009.wav,whiplash_mixed_v16.wav,18.000,20.000,yes,Music much louder than target voice
recordings/windows/2s/whiplash_mixed_v16/window_0010.wav,whiplash_mixed_v16.wav,20.000,22.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0011.wav,whiplash_mixed_v16.wav,22.000,24.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0012.wav,whiplash_mixed_v16.wav,24.000,26.000,yes,Music much louder than target voice
recordings/windows/2s/whiplash_mixed_v16/window_0013.wav,whiplash_mixed_v16.wav,26.000,28.000,yes,Music much louder than target voice
recordings/windows/2s/whiplash_mixed_v16/window_0014.wav,whiplash_mixed_v16.wav,28.000,30.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0015.wav,whiplash_mixed_v16.wav,30.000,32.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0016.wav,whiplash_mixed_v16.wav,32.000,34.000,yes,Music much louder than target voice
recordings/windows/2s/whiplash_mixed_v16/window_0017.wav,whiplash_mixed_v16.wav,34.000,36.000,yes,
recordings/windows/2s/whiplash_mixed_v16/window_0018.wav,whiplash_mixed_v16.wav,36.000,38.000,yes,
